续 前 页 单位 :100m
高 速 、- 级 公路
顺 分 离 式
序 项 目 全 代 号 联 道 长 麻 1000m 以 内
号 二 车 道 三 车 道 四 车 道
1 下 Ta 2 3
28 | 塑料 打 孔 波纹 管 (4400mm) m | 5001033 22. 36 16.89 12. 25
29 | 复合 式 防水 板 m2 | 5001056 327,.81 279.99 255. 35
30 | 硝 钙 炸 药 kg | 5005002 756.80 751.92 711.40
31 | 非 电 毫秒 雷管 个 | 5005008 902. 47 901.74 861.97
32 | 导 爆 索 m | 5005009 589.61 592.97 571.68
33 | 土工 布 m2 | 5007001 47.14 36.42 28.02
34 | 防火 涂料 kg | 5009018 2312. 42 2132.52 2084. 25
35 | 中 ( 粗 ) 砂 ma | 5503005 158.80 177.36 210.58
36 | 天 然 砂 砾 ma | 人 5503008 0.99 1.09 1.29
37 | 片 石 m3j | 5505005 0.35 0.27 0.19
38 | 碎 石 (2cm) 半 3 | 5505012 27.79 31.74 39.26
39 | 碎 石 (4cm) m3 | 5505013 164.52 183.40 216.03
40 | 碎 石 (8cm) m3 | 5505015 1.39 1.05 0.76
41 | 瓷砖 m2 | 5507002 45.31 39.37 35.20
42 | 青 ( 红 ) 砖 千 块 | 5507003 1.0 工 .1 1.3

